1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,
1,2,3,2,3,6,3,2,3,2,3,6,3,2,3,2,1,
1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,
1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,
1,3,7,3,2,3,2,3,2,3,2,3,2,3,6,3,1,
1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,
1,3,2,3,2,3,2,1,2,1,2,3,2,3,2,3,1,
1,2,3,2,3,2,3,2,4,2,3,2,3,2,3,2,1,
1,3,2,3,2,3,2,1,2,1,2,3,2,3,2,3,1,
1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,
1,3,8,3,2,3,2,3,2,3,2,3,2,3,6,3,1,
1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,
1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,
1,2,3,2,3,6,3,2,3,2,3,6,3,2,3,2,1,
1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
